CUI1,CUI2,Prediction
How Often Weight Loss,Diffuse malignant mesothelioma,1
Measures,FIGO Stage II Ovarian Cancer,0
Urinary Bladder,Bladder squamous cell carcinoma stage I,0
include - SetOperator,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
pharmacotherapeutic,Malignant melanoma of eyelid,0
Incidence,Extra-Adrenal Paraganglioma,1
Group A (blood group),Malignant Neoplasm with Regional Lymph Node Involvement,0
Primary malignant neoplasm,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Universal,Cartilaginous exostosis,0
Response to treatment,squamous cell carcinoma of the thyroid gland,1
Affecting,Refractory Barrett Esophagus,1
During,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0
Carcinoma,gliosarcoma,1
High Mitosis-Karyorrhexis Index,Tonsillar Carcinoma,1
include - SetOperator,Malignant Testicular Sertoli Cell Tumor,1
Annual,Extracranial Neuroblastoma,0
Loss of appetite (finding),FIGO Stage II Ovarian Cancer,1
Portion of urine,Cancer of Urinary Tract,0
Occurrence,Maxillary Sinus Adenocarcinoma,0
Similarity,Maxillary Sinus Adenocarcinoma,1
Device system,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Term (temporal),Recurrent Testicular Lymphoma,0
various other nasal preparations in ATC,Benign Carotid Body Paraganglioma,0
Concept History,Recurrent Uveal Melanoma,1
Associated with,Colorectal cancer,1
Associated with,BRCA2 Syndrome,1
Occurrence,Localized Askin Tumor,0
Short Value,Cancer of Urinary Tract,0
Progress,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Liquid substance,Digestive System Hodgkin Lymphoma,0
risk factors - observation list,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
Occurrence,Airway Hemangioma,0
Manufactured form,squamous cell carcinoma of the thyroid gland,1
Abdomen,FIGO Stage II Ovarian Cancer,0
Characterization,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Primary malignant neoplasm,Leiomyoma of Gallbladder,1
Linear,Mucinous adenocarcinoma gastric,0
Derivation,Airway Hemangioma,1
Singular,Blepharal carcinoma,0
IPSS Risk Category High,Malignant melanoma of eyelid,1
Occurrence,Malignant neoplasm of thalamus,0
Often - answer to question,Childhood Lymphoma,0
Skin,Stage II Carcinoma of Penis,0
Affecting,Localized Askin Tumor,1
Death (finding),Carcinoma of urinary bladder,0
Provide (product),Anterior Urethral Malignant Neoplasm,0
Interferes with,Airway Hemangioma,0
Phenazopyridine,Cancer of Urinary Tract,0
Continuous,Testicular cancer metastatic,0
Case unit dose,Unfavorable Non-Hodgkin Lymphoma,0
Hematologic Tests,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Stomach Carcinoma,Mucinous adenocarcinoma gastric,0
Categories,Neonatal leukemia,0
Neoadjuvant Therapy Clinical Trial Setting,Metastatic Carcinoma in the Lung,0
Patient Visit,Pilocytic astrocytoma of cerebellum,0
Infrequent,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Negation,Liver Cavernous Hemangioma,0
Spreading (qualifier value),Bladder squamous cell carcinoma stage I,0
hiv-infection/aids,Acute lymphadenitis,0
Often - answer to question,Endometrial Small Cell Carcinoma,0
Metastatic to,Granular Cell Leiomyosarcoma,1
Chemotherapy,Carcinoma of urinary bladder,0
True primary (qualifier value),Recurrent Uveal Melanoma,0
Skin fold,Blepharal carcinoma,0
low,Placental aromatase deficiency,0
800,Diffuse malignant mesothelioma,0
second (number),Secondary malignant neoplasm of lymph node,0
International Statistical Classification of Diseases and Related Health Problems,Noninfiltrating Intraductal Carcinoma,1
Status post,Uterine Cancer,1
Tanning of leather,Malignant melanoma of eyelid,0
Lymphoid neoplasm,Recurrent Testicular Lymphoma,1
Study Site,Human Papillomavirus-Related Carcinoma,0
Bathing,Digestive System Hodgkin Lymphoma,1
Back structure,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Case (situation),Malignant Testicular Sertoli Cell Tumor,1
BLNK gene,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Exposure to radiation,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Adenolymphoma,Papillary cystic tumor,1
Cohort Studies,adenoid cystic carcinoma of lung,0
Rating (action),Carcinoma of urinary bladder,0
Blood,Cancer of Urinary Tract,0
Table Cell Horizontal Align - left,mucinous adenocarcinoma of gallbladder,1
Rapid,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Testicular mass,Malignant Testicular Sertoli Cell Tumor,0
Blood Circulation,Digestive System Hodgkin Lymphoma,1
Primary malignant neoplasm,adenoid cystic carcinoma of lung,1
Ratio,Angiosarcoma of liver,0
Adenocarcinoma,Stage II Fallopian Tube Cancer,1
Most,Recurrent Testicular Lymphoma,0
Living Alone,Undifferentiated Endocervical Sarcoma,0
Linear,papillary carcinoma of penis,0
Cutaneous leiomyoma,Deep Leiomyoma,0
Account number:Identifier:Point in time:^Patient:Nominal,Endometrial Small Cell Carcinoma,0
Time,Extracranial Neuroblastoma,0
Biomaterial Treatment,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Bulbomembranous Urethra,Urethral Carcinoma,0
therapeutic aspects,Uterine Cancer,0
Base - General Qualifier,de novo Myelodysplastic Syndrome,1
allowing,Human Papillomavirus-Related Carcinoma,1
Including (qualifier),Granular Cell Leiomyosarcoma,1
Decision,Benign Apocrine Neoplasm,0
Stage,Spermatocytic seminoma,1
Cancer Genus,Secondary malignant neoplasm of lymph node,0
Occurrence Indicator,Metastatic Neoplasm to the Gallbladder,0
Before,Lung squamous cell carcinoma stage I,0
Forecast of outcome,Acantholytic squamous cell carcinoma,0
Use of,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Group A (qualifier value),Malignant Neoplasm with Regional Lymph Node Involvement,0
Distention of blood vessel,Liver Cavernous Hemangioma,1
defective,Mastocytosis,1
Contact Dermatitis,Contact dermatitis due to alkali,0
Prostate,Granular Cell Leiomyosarcoma,0
Sometimes,Undifferentiated Endocervical Sarcoma,0
Easy bleeding,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Abnormal,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Screening Study,Endometrial Small Cell Carcinoma,0
Occur (action),Choroid Necrotic Melanoma,0
Low Grade,mucinous adenocarcinoma of gallbladder,1
Present,Familial Hemophagocytic Lymphocytosis,1
Complex,Recurrent Testicular Lymphoma,0
Age of onset of symptoms:Time:Pt:^Patient:Qn,Intestinal Metaplasia of Bladder Urothelium,0
Occur (action),Mucinous neoplasm,0
anatomical layer,Adult Alveolar Soft Part Sarcoma,1
Primary,Digestive System Hodgkin Lymphoma,1
Ectodermal,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
What subject filter - Result,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Massive,Unresectable Rhabdomyosarcoma,1
Glycation End Products,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
include - SetOperator,Anterior Urethral Malignant Neoplasm,0
Entity,Cartilaginous exostosis,0
Smear - instruction imperative,Acute Undifferentiated Leukemia,0
Age at diagnosis,Acantholytic squamous cell carcinoma,1
cancer location,Urethral Carcinoma,0
Occur (action),Recurrent Uveal Melanoma,0
risk factors,Acantholytic squamous cell carcinoma,0
Neuroendocrine Tumors,Benign neoplasm of thorax,0
Simple,Refractory Barrett Esophagus,0
Most,Pancreatic Intraepithelial Neoplasia-3,0
Responsible to,ALK positive large B-cell lymphoma,0
Togo,Testicular cancer metastatic,0
Type - attribute,Recurrent Testicular Lymphoma,0
Fragment of (qualifier value),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Pallor of skin,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Act Relationship Subset - previous,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
cell transformation,Recurrent Testicular Lymphoma,1
Main,adenosquamous carcinoma of breast,0
Medical pathologist,Papillary cystic tumor,0
Alternative,Serous cystadenocarcinoma ovary,0
Etiology aspects,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Involvement with,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Type - attribute,Stage I Gastric Neuroendocrine Tumor AJCC v8,0
*Type - Kind of quantity,Recurrent Uveal Melanoma,1
Cancer Genus,Spermatocytic seminoma,1
Cell Differentiation process,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Firstly,Testicular cancer metastatic,0
Only - dosing instruction fragment,Anterior Urethral Malignant Neoplasm,0
Age at diagnosis:Time:Pt:^Patient:Qn,Acantholytic squamous cell carcinoma,0
Thin (qualifier value),Childhood Thyroid Gland Follicular Carcinoma,0
Including (qualifier),Choroid Necrotic Melanoma,1
Online Mendelian Inheritance In Man,benign mature teratoma of pancreas,1
Most,Colorectal cancer,0
Cessation of life,Acute Undifferentiated Leukemia,1
PREVENT (product),Human Papillomavirus-Related Carcinoma,1
Drop measurement,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Occurrence Indicator,Stage I Gastric Neuroendocrine Tumor AJCC v8,0
Divide,Malignant neoplasm of thalamus,0
What subject filter - Result,Mucinous adenocarcinoma gastric,0
Age,Uterine Cancer,0
Generation (action),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Tissue membrane,Neonatal leukemia,0
Night sweats,Hodgkin lymphoma,0
Sometimes,Cancer of Urinary Tract,0
Shortness of breath:-:Point in time:^Patient:-,adenosquamous carcinoma of breast,0
Antidepressant Measurement,Refractory Barrett Esophagus,0
Cover (physical object),Secondary malignant neoplasm of lymph node,0
75,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Tonsillar Carcinoma,Tonsillar Carcinoma,0
Singular,Primary Cutaneous Plasmablastic Lymphoma,0
ovarian,mucinous adenocarcinoma of gallbladder,0
Bone Marrow Examination,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
65,Intestinal Metaplasia of Bladder Urothelium,0
Most Recent,Secondary malignant neoplasm of lymph node,0
Scientific Publication,Noninfiltrating Intraductal Carcinoma,1
Negation,Endometrial Small Cell Carcinoma,1
Diagnostic Imaging,Carcinoma of urinary bladder,0
Age at menopause,FIGO Stage II Ovarian Cancer,0
Scientific Study,Giant cell angiofibroma,0
Observation of color of skin,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
include - SetOperator,Adenocarcinoma,0
Risk,Malignant melanoma of eyelid,0
High risk of,Acantholytic squamous cell carcinoma,1
Platelets Product,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
combination - answer to question,Endometrial Small Cell Carcinoma,0
Occurrence,Diffuse malignant mesothelioma,0
Pathogenic organism,Testicular cancer metastatic,0
Neuroendocrine Tumors,Stage IB Pancreatic Cancer AJCC v8,1
Trauma,Giant cell angiofibroma,0
Increased frequency of micturition,Cancer of Urinary Tract,0
User Group,Heavy Chain Deposition Disease,0
Positioning Attribute,BRCA2 Syndrome,1
SLC35G1 gene,Metastatic Carcinoma in the Lung,0
Pigment cell,Recurrent Uveal Melanoma,0
Fatigue,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Contain (action),Colorectal High Grade B-Cell Lymphoma,0
Neck Pain Score 2,Cartilaginous exostosis,0
Application procedure,Acantholytic squamous cell carcinoma,0
Ovary,FIGO Stage II Ovarian Cancer,0
Anterior portion of neck,Tonsillar Carcinoma,0
include - SetOperator,Pancreatic Intraepithelial Neoplasia-3,0
therapeutic aspects,Spongiotic dermatitis,0
Feature,Intestinal Neuroendocrine Carcinoma,1
Entity Determiner - specific,Metastatic Ductal Breast Carcinoma,1
Specimen Source Codes - Tears,Blepharal carcinoma,0
Adverse effects,Breast Ductal Adenoma,1
Adult Nodular Lymphocyte Predominant Hodgkin Lymphoma,Stage I Adult Non-Hodgkin Lymphoma,0
Vaginal,Anterior Urethral Malignant Neoplasm,0
Known,Diffuse malignant mesothelioma,1
High risk of,FIGO Stage II Ovarian Cancer,1
Most,FIGO Stage II Ovarian Cancer,0
Near,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Age of Onset,gliosarcoma,1
Acquisition (action),Clonal Hematopoiesis of Indeterminate Potential,0
Aromatase deficiency,Placental aromatase deficiency,0
Active,Thymic Clear Cell Carcinoma,1
Abdominal Cavity,Benign neoplasm of thorax,0
Ephrin Type-B Receptor 1,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Skin tanning,Malignant melanoma of eyelid,1
Age,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Analysis,Malignant melanoma of eyelid,0
All,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
International Classification of Disease for Oncology,Rhabdomyosarcoma with ganglionic differentiation,0
Skin Pigmentation,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
To,Unfavorable Non-Hodgkin Lymphoma,0
Adenocarcinoma,Pancreatic Intraepithelial Neoplasia-3,1
Pelvis,Localized Askin Tumor,0
Prognosis:Find:Pt:^Patient:Nom,mucinous adenocarcinoma of gallbladder,0
Devices,Recurrent Uveal Melanoma,0
Squamous cell carcinoma,Tonsillar Carcinoma,0
Fraction of,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Onset of (contextual qualifier),Malignant Testicular Sertoli Cell Tumor,1
System (unit of presentation),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Contain (action),Digestive System Hodgkin Lymphoma,0
Form:Finding:Point in time:{Setting}:Document:{Role},Choroid Necrotic Melanoma,0
United Kingdom,Diffuse malignant mesothelioma,0
Type - attribute,Metastatic Carcinoma in the Lung,1
Neurofibromatosis 1,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Host (organism),Testicular cancer metastatic,0
Type A,Benign Apocrine Neoplasm,0
50%,FIGO Stage II Ovarian Cancer,0
Manufactured form,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Mental association,Heavy Chain Deposition Disease,0
shared attribute,Anterior Urethral Malignant Neoplasm,0
diagnosis aspect,Malignant melanoma of eyelid,0
Squamous cell carcinoma,Colorectal High Grade B-Cell Lymphoma,0
Approximate,Spermatocytic seminoma,1
Ultraviolet Rays,Malignant melanoma of eyelid,0
Contain (action),squamous cell carcinoma of the thyroid gland,0
Orbital region,Blepharal carcinoma,0
Intellectual scale,Acantholytic squamous cell carcinoma,0
Low Mitosis-Karyorrhexis Index,Clonal Hematopoiesis of Indeterminate Potential,1
Microscopic description,Colorectal High Grade B-Cell Lymphoma,0
include - SetOperator,Stage IB Pancreatic Cancer AJCC v8,0
Eczema,Spongiotic dermatitis,0
various allergen extracts,Recurrent Testicular Lymphoma,0
Cure (remedy),Uterine Cancer,0
Others - Allergy,Blepharal carcinoma,0
Dysuria,Bladder squamous cell carcinoma stage I,1
Orbital region,Malignant melanoma of eyelid,0
Persons,Heavy Chain Deposition Disease,0
Occur (action),Metastatic Neoplasm to the Gallbladder,0
To,Mucinous adenocarcinoma gastric,0
Usually Need Help from Another Person for Arising,Thymic Clear Cell Carcinoma,1
+2,Localized Askin Tumor,1
WHO Central Nervous System Grade I,Malignant neoplasm of choroid,0
Type - attribute,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
How Often Shortness of Breath,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Skin,Colorectal cancer,0
Sweat,Benign Apocrine Neoplasm,0
Specimen,Undifferentiated Endocervical Sarcoma,0
Lower (action),Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Occurrence,Undifferentiated Endocervical Sarcoma,0
Current (present time),Rhabdomyosarcoma with ganglionic differentiation,0
Hyperlink,Clonal Hematopoiesis of Indeterminate Potential,0
Subcutaneous Tissue,Spongiotic dermatitis,1
To,benign mature teratoma of pancreas,0
Percent (qualifier value),Refractory Glioma,1
Screening,Undifferentiated Endocervical Sarcoma,1
Type A,Localized Askin Tumor,1
Case (situation),Acantholytic squamous cell carcinoma,0
Referral placed,Endometrial Small Cell Carcinoma,0
Group A (qualifier value),Intestinal Neuroendocrine Carcinoma,1
Certain (qualifier value),Pancreatic Intraepithelial Neoplasia-3,0
Treatment Epoch,Human Papillomavirus-Related Carcinoma,1
Inferior esophageal sphincter structure,Refractory Barrett Esophagus,0
Include (action),Granular Cell Leiomyosarcoma,0
Surgical patch,Contact dermatitis due to alkali,0
How Much Distress Shortness of Breath,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Possible,Lung squamous cell carcinoma stage I,1
To,Clonal Hematopoiesis of Indeterminate Potential,0
Feel Tired question,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Immune,Thymic Clear Cell Carcinoma,0
Continuance of life,adenoid cystic carcinoma of lung,1
HL7PublishingSubSection <practice>,Acute lymphadenitis,0
Highest,Bladder squamous cell carcinoma stage I,0
Triggered by,Acute Undifferentiated Leukemia,0
Orthologous Gene,BRCA2 Syndrome,1
Numbers,Localized Askin Tumor,0
Type - attribute,Ichthyoses,0
status - In progress,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Time (foundation metadata concept),Pancreatic Intraepithelial Neoplasia-3,0
Symptoms aspect,Methotrexate-Associated Hodgkin Lymphoma,1
Adult Alveolar Soft Part Sarcoma,Adult Alveolar Soft Part Sarcoma,0
diagnosis aspect,Carcinoma of urinary bladder,0
Tumor Mass,Anterior Urethral Malignant Neoplasm,1
Cessation of life,Diffuse malignant mesothelioma,1
Chest Pain,Stage IB Lung Cancer AJCC v7,1
Call (Instruction),Digestive System Hodgkin Lymphoma,0
Primary,Malignant melanoma of eyelid,1
Human body,Colorectal Neuroendocrine Tumor G2,0
Negation,Recurrent Uveal Melanoma,1
Group A (qualifier value),Colorectal Neuroendocrine Tumor G2,0
Experimental Result,papillary carcinoma of penis,0
Transurethral Resection,Bladder squamous cell carcinoma stage I,1
Sexually active,Human Papillomavirus-Related Carcinoma,0
Primary malignant neoplasm,Uterine Cancer,0
Therapeutic radiology procedure,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
First sign,Endometrial Small Cell Carcinoma,0
Ephrin Type-B Receptor 1,Colorectal Neuroendocrine Tumor G2,0
Malignant Vaginal Neoplasm,papillary carcinoma of penis,0
Stem of plant,Clonal Hematopoiesis of Indeterminate Potential,0
negative regulation of biological process,Unresectable Rhabdomyosarcoma,0
Contain (action),FIGO Stage II Ovarian Cancer,0
treatment - ActInformationManagementReason,Uterine Cancer,0
Affecting,Acute Undifferentiated Leukemia,1
1000000,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Intestines,Stage I Gastric Neuroendocrine Tumor AJCC v8,0
Deep Resection Margin,Adult Alveolar Soft Part Sarcoma,1
Eye foreign bodies,Blepharal carcinoma,0
